id,ts,co2,temp,hum,clear,nir,soil_moisture,soil_temp,soil_ec,soil_ph,soil_n,soil_p,soil_k,rssi,snr,battery_v,battery_i,battery_p,charging
1,2026-07-19T09:39:20.343379+00:00,204,29.1,30.1,1000,1000,,,,,,,,-48.0,12.0,4.092,-68.5,-280.3,0
2,2026-07-19T09:47:26.221408+00:00,198,28.1,31.1,1000,1000,,,,,,,,-49.0,12.5,4.08,-105.4,-430.0,0
3,2026-07-19T09:51:27.347204+00:00,99,27.2,32.4,1000,1000,,,,,,,,-48.0,12.75,4.08,-110.7,-451.7,0
4,2026-07-19T09:59:34.405929+00:00,174,28.9,30.3,1000,1000,,,,,,,,-49.0,12.5,4.084,-79.5,-324.7,0
5,2026-07-19T10:03:35.587783+00:00,194,31.4,29.5,1000,1000,,,,,,,,-48.0,12.5,4.104,60.3,247.5,1
6,2026-07-19T10:19:50.283092+00:00,216,26.8,33.4,1000,1000,,,,,,,,-47.0,12.5,4.088,-91.1,-372.4,0
7,2026-07-19T10:23:51.971497+00:00,203,26.9,33.3,1000,1000,,,,,,,,-48.0,12.5,4.092,-72.5,-296.7,0
8,2026-07-19T10:36:02.262692+00:00,195,28.5,30.5,1000,1000,,,,,,,,-48.0,12.0,4.096,-53.9,-220.8,0
9,2026-07-19T10:40:05.405195+00:00,149,34.0,25.4,1000,1000,,,,,,,,-48.0,13.0,4.12,103.8,427.7,1
10,2026-07-19T10:44:06.602275+00:00,190,29.7,28.9,1000,1000,,,,,,,,-47.0,10.75,4.1,-66.6,-273.1,0
11,2026-07-19T10:48:09.420375+00:00,169,30.3,27.8,1000,1000,,,,,,,,-48.0,12.5,4.108,-64.1,-263.3,0
12,2026-07-19T10:52:11.707388+00:00,147,35.4,23.6,1000,1000,,,,,,,,-49.0,12.0,4.116,3.7,15.2,0
13,2026-07-19T10:56:11.721962+00:00,152,31.4,27.9,1000,1000,,,,,,,,-49.0,12.25,4.124,43.2,178.2,1
14,2026-07-19T11:00:13.437073+00:00,227,31.2,27.3,1000,1000,,,,,,,,-49.0,12.25,4.12,16.3,67.2,1
15,2026-07-19T11:04:16.722118+00:00,174,34.8,24.1,1000,1000,,,,,,,,-48.0,12.0,4.128,58.1,239.8,1
16,2026-07-19T11:08:19.337627+00:00,238,35.1,22.7,1000,1000,,,,,,,,-49.0,12.25,4.136,80.1,331.3,1
17,2026-07-19T11:20:31.053218+00:00,212,35.7,21.8,1000,1000,,,,,,,,-48.0,12.5,4.148,146.6,608.1,1
18,2026-07-19T11:24:33.186424+00:00,162,34.9,22.1,1000,1000,,,,,,,,-48.0,13.0,4.144,87.1,360.9,1
19,2026-07-19T11:28:34.657793+00:00,194,36.9,20.6,1000,1000,,,,,,,,-48.0,13.25,4.152,130.4,541.4,1
